File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Strings.cpp,47,35,22,9,12,2,0,7,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\TestScene.cpp,162,114,90,8,23,5,25,95,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Text.cpp,255,56,38,4,25,0,174,457,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\TextMesh.cpp,126,96,65,3,30,2,0,18,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Texture.cpp,105,69,52,10,36,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Transform.cpp,13,7,2,0,6,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Transform2.cpp,24,17,8,1,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\VerticalLayout.cpp,38,22,13,2,13,0,3,12,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Viewer.cpp,14,8,2,0,6,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Viewer2.cpp,30,23,11,3,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\ViewerTest.cpp,93,72,53,2,16,0,5,10,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\WeightedLayout.cpp,25,17,10,0,8,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Application.h,58,40,30,0,17,0,1,13,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Camera.h,14,9,5,0,5,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Camera2.h,43,33,25,0,10,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\ColorComponent.h,19,12,8,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\ConstantLayout.h,72,52,29,0,20,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Entity.h,30,22,17,0,8,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\EntityComponent.h,22,15,9,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Event.h,38,30,12,0,8,12,0,66,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Font.h,117,88,73,0,26,3,3,48,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\FpsController.h,30,19,13,1,11,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\GeneticRootScene.h,53,36,22,0,17,1,0,3,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Globals.h,15,8,4,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\HorizontalLayout.h,16,10,5,0,6,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Image.h,24,17,11,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\InfoLog.h,23,13,8,0,10,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\InputState.h,62,52,39,0,9,0,1,4,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Layout.h,55,40,33,1,15,2,0,6,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Mesh.h,81,52,27,4,28,0,1,12,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Model.h,46,32,25,0,14,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\ResourceManager.h,60,43,29,0,16,0,1,20,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\RootScene.h,33,21,14,0,12,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Scene.h,86,57,50,0,29,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Shader.h,49,30,23,0,15,0,4,19,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\stb_image.h,6846,5002,3413,1093,728,223,1116,8320,217,1234
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\StdAfx.h,46,24,0,0,11,0,11,68,10,66
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\stlsort.h,551,312,179,48,117,6,122,786,16,75
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Strings.h,18,13,7,0,5,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\TestScene.h,32,22,13,0,10,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Text.h,171,46,31,3,18,0,107,544,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\TextMesh.h,58,43,32,0,15,2,0,3,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Texture.h,44,28,18,0,16,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Transform.h,14,10,6,0,4,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Transform2.h,19,12,8,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\VerticalLayout.h,12,9,5,0,3,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Viewer.h,12,9,4,0,3,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\Viewer2.h,20,13,7,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\ViewerTest.h,24,17,11,0,7,0,0,0,0,0
C:\A\C_Programme\VC++\Win32Project1\Win32Project1\WeightedLayout.h,39,29,19,3,10,0,0,0,0,0
